Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
mvtec_screw,0.8673908587825374,0.9536612329479246,0.8365728056233412
mvtec_pill,0.972722313147845,0.9728528901316613,0.9070676467997362
mvtec_capsule,0.9545273234942162,0.9813037364902815,0.8991573096723545
mvtec_carpet,0.9618780096308186,0.9581919952532016,0.7505929118090158
mvtec_grid,0.9933166248955723,0.977950621051678,0.9367340139824393
mvtec_tile,0.9393939393939394,0.8064676495931293,0.8037991929272532
mvtec_wood,0.9956140350877194,0.8667724072688063,0.7926262929418069
mvtec_zipper,0.9944852941176471,0.9811315222789523,0.9466788431284577
mvtec_cable,0.9747001499250374,0.9117947572731414,0.8119587933491144
mvtec_toothbrush,1.0,0.9823120850596829,0.9240975958367866
mvtec_transistor,0.9904166666666667,0.9055237624290754,0.860228223718042
mvtec_metal_nut,0.9960899315738025,0.9523337668735584,0.8297436128130602
mvtec_bottle,1.0,0.9687800726761864,0.8702182449852439
mvtec_hazelnut,0.9896428571428572,0.9187860611057218,0.7487344102867827
mvtec_leather,1.0,0.9844348354230303,0.9466015697483458
Mean,0.975345200257244,0.9414864930570687,0.8576540978414521
