Row Names,instance_auroc,full_pixel_auroc
mvtec_carpet, 99.7,98.2
mvtec_grid, 99.7,98.8
mvtec_leather,100,99.2
mvtec_tile,99.8,97.0
mvtec_wood,100,94.5
Avg. Text.,99.8,97.5
mvtec_bottle,100,98.0
mvtec_cable,99.9,97.6
mvtec_capsule,97.7,98.9
mvtec_hazelnut,100,97.9
mvtec_metal_nut,100,98.8
mvtec_pill,99.0,98.6
mvtec_screw,98.2,99.3
mvtec_toothbrush,99.7,98.5
mvtec_transistor,100,97.6
mvtec_zipper,99.9,98.9
Avg. Obj.,99.5,98.4
Average,99.6,98.1
