Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
mvtec_screw,0.9073580651772905,0.9895786712244777,0.9497650710955018
mvtec_pill,0.9795417348608838,0.9874391398716812,0.9498763162343556
mvtec_capsule,0.9680893498205027,0.9914272867115076,0.9148781983168944
mvtec_carpet,0.982744783306581,0.9885010614410701,0.9538657674146549
mvtec_grid,0.9966583124477861,0.9849957259945672,0.9428505199238186
mvtec_tile,1.0,0.9656813399132851,0.9350423038203175
mvtec_wood,0.9938596491228071,0.9446960491967409,0.8443033585926384
mvtec_zipper,1.0,0.9893594478220972,0.9613231529357795
mvtec_cable,0.9913793103448276,0.9838837346434879,0.926464685799138
mvtec_toothbrush,0.9027777777777778,0.9886226888670985,0.9266410727890922
mvtec_transistor,1.0,0.9848754879688013,0.9379141562517037
mvtec_metal_nut,1.0,0.9891855787320921,0.896135723824693
mvtec_bottle,1.0,0.9848198191853639,0.9424729485645299
mvtec_hazelnut,1.0,0.987553932139332,0.9089980464601305
mvtec_leather,1.0,0.9941569330257509,0.9779731173484093
Mean,0.9814939321905638,0.9836517931158235,0.9312336292914439
