Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
mvtec_screw,0.7456445993031359,0.9391688291765747,0.8305105910142592
mvtec_pill,0.9522640480087288,0.9776703836166618,0.907727067371622
mvtec_capsule,0.9437574790586358,0.9865624462294303,0.8920553574601429
mvtec_carpet,0.9686998394863562,0.9852946179979006,0.9522702220058071
mvtec_grid,0.9941520467836258,0.9779636124508945,0.9285369284057445
mvtec_tile,0.9992784992784993,0.9572045833111462,0.9172856417786208
mvtec_wood,0.9956140350877194,0.9369809876568885,0.8525097684894258
mvtec_zipper,0.993172268907563,0.9858942413185685,0.9550690546393513
mvtec_cable,0.9628935532233882,0.9707272857158892,0.8705939750300302
mvtec_toothbrush,0.8833333333333334,0.9853454254938575,0.8905653073534336
mvtec_transistor,0.9845833333333334,0.9702969460020455,0.8599361978835003
mvtec_metal_nut,0.9975562072336266,0.9866899861530517,0.8924183289793322
mvtec_bottle,1.0,0.983361043958245,0.9347289406003556
mvtec_hazelnut,0.9864285714285714,0.9632007664499541,0.8713130983292213
mvtec_leather,1.0,0.9954645527122497,0.9759480769404935
Mean,0.9604918542977678,0.9734550472162239,0.9020979037520893
