Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
mvtec_screw,0.835417093666735,0.978008096103795,0.9208514053500001
mvtec_pill,0.9634478996181124,0.9866736094443904,0.9399343944147976
mvtec_capsule,0.9533306741124851,0.9884777865260258,0.9018969434039311
mvtec_carpet,0.9634831460674156,0.9875743438259865,0.94745874489696
mvtec_grid,0.9941520467836258,0.984190045069324,0.9368453330997312
mvtec_tile,1.0,0.9642017690950707,0.9315710846429299
mvtec_wood,0.9921052631578947,0.9452850900996972,0.8462586500070941
mvtec_zipper,0.9981617647058824,0.9881321804750057,0.9575689737830715
mvtec_cable,0.9983133433283358,0.9817447667666389,0.9274061267350315
mvtec_toothbrush,0.8777777777777779,0.9871084657708445,0.9185715827976662
mvtec_transistor,0.9975,0.9791335229334331,0.9064948089272495
mvtec_metal_nut,1.0,0.9898134079681631,0.9305524569393898
mvtec_bottle,1.0,0.9851043279976361,0.9488558363343903
mvtec_hazelnut,0.9982142857142857,0.9835787073758456,0.8768781452987111
mvtec_leather,1.0,0.9939516222892067,0.9796553896268893
Mean,0.97146021966217,0.9815318494494042,0.9247199917505229
