Row Names,instance_auroc,full_pixel_auroc
mvtec_screw,0.6872309899569584,0.7462007193634097
mvtec_pill,0.8657937806873978,0.9276046828676422
mvtec_capsule,0.8528121260470682,0.9389765751503378
mvtec_carpet,0.9402086677367576,0.9755950157186715
mvtec_grid,0.9674185463659147,0.9767619927310375
mvtec_tile,0.9992784992784993,0.9306015176557941
mvtec_wood,0.9850877192982456,0.8777813934415977
mvtec_zipper,0.9910714285714286,0.9814107874856566
mvtec_cable,0.8809970014992503,0.9189881905303677
mvtec_toothbrush,0.8388888888888889,0.9664301234887153
mvtec_transistor,0.9579166666666666,0.924898545294933
mvtec_metal_nut,0.9780058651026393,0.9321933997098241
mvtec_bottle,1.0,0.9703278345269976
mvtec_hazelnut,0.8307142857142856,0.8691099641799789
mvtec_leather,1.0,0.9933488520401083
Mean,0.9183616310542667,0.9286819729456715
