Row Names,instance_auroc,full_pixel_auroc,anomaly_pixel_auroc
mvtec_screw,0.984423037507686,0.9925084514890181,0.9682393068035978
mvtec_pill,0.993998908892526,0.9831347388219075,0.9378761917381228
mvtec_capsule,0.9768647786198644,0.9888976761925017,0.928437271427706
mvtec_carpet,0.9955858747993579,0.9782307324524177,0.8745211948434828
mvtec_grid,1.0,0.9813002719111175,0.9317100466071937
mvtec_tile,0.9978354978354977,0.9387893987225698,0.885565128468424
mvtec_wood,1.0,0.9379656336900395,0.837685176717596
mvtec_zipper,0.9994747899159664,0.9793394478923475,0.935848975872024
mvtec_cable,0.9994377811094453,0.9756113878369113,0.9111457649029924
mvtec_toothbrush,1.0,0.9847284132665862,0.9260709696677022
mvtec_transistor,1.0,0.966064673177362,0.9320364556011329
mvtec_metal_nut,1.0,0.9853010222785815,0.8863688756870023
mvtec_bottle,1.0,0.9797866817604112,0.9028243936068957
mvtec_hazelnut,1.0,0.9685089816835704,0.8029348285940964
mvtec_leather,1.0,0.9917522807753969,0.9682624683005613
Mean,0.9965080445786896,0.9754613194633827,0.9086351365892354
